KEY,ANNOTATION,PROPERTY_DESCRIPTION,IDENTIFIER
HC01_VC119,NONE,,NONE
HC01_VC120,NONE,,NONE
HC01_VC121,NONE,,NONE
HC01_VC122,NONE,,NONE
HC01_VC123,NONE,,NONE
HC01_VC124,NONE,,NONE
HC01_VC125,NONE,,NONE
HC01_VC126,NONE,,NONE
PLACE_OF_BIRTH_MODULE,CREATE_DATA_MODULE,Place of Birth,place_of_birth
HC01_VC130,CREATE_DATA_POINT,Total Population,tot_pop
NATIVE_BORN_CDP,CREATE_COMPOSITE_DATA_POINT,Native Vs Foreign Born,nat_vs_foreign
HC01_VC131,CREATE_DATA_FRAGMENT,Native,native
HC01_VC132,NONE,,NONE
HC01_VC133,CREATE_SUBDATA_FRAGMENT,Born in U.S- Same state of residence,native_born_in_us_same_state
HC01_VC134,CREATE_SUBDATA_FRAGMENT,Born in U.S- different state of residence,native_born_in_us_different_state
HC01_VC135,CREATE_SUBDATA_FRAGMENT,"Born in Puerto Rico, U.S Island areas, or born abroad to American parent(s)",native_puerto_rico
HC01_VC136,CREATE_DATA_FRAGMENT,Foreign born ,foreign_born
CITIZENSHIP_MODULE,CREATE_DATA_MODULE,U.S Citizenship Status,us_citizenship_status
HC01_VC140,CREATE_DATA_POINT,Foreign born population,foreign_born_pop
FOREIGN_BORN_CDP,CREATE_COMPOSITE_DATA_POINT,Naturalized U.S Citizen Vs Not a US Citizen,natural_us_citizen_vs_not_a_us_citizen
HC01_VC141,CREATE_DATA_FRAGMENT,Naturalized U.S citizen ,naturalized_us_citizen
HC01_VC142,CREATE_DATA_FRAGMENT,Not a U.S citizen,not_a_us_citizen
HC01_VC146,NONE,,NONE
HC01_VC149,NONE,,NONE
HC01_VC150,NONE,,NONE
HC01_VC151,NONE,,NONE
HC01_VC154,NONE,,NONE
HC01_VC155,NONE,,NONE
HC01_VC156,NONE,,NONE
FOREIGN_BORN_ROB_MODULE,CREATE_DATA_MODULE,Foreign Born Population- Region of Birth,foreigh_born_population_rob
HC01_VC160,CREATE_DATA_POINT,"Foreign-born population, excluding population born at sea",foreign_born_population
FOREIGN_BORN_ROB_CDP,CREATE_COMPOSITE_DATA_POINT,Foreign born population -regions,foreign_born_population_regions
HC01_VC161,CREATE_DATA_FRAGMENT,Europe,europe
HC01_VC162,CREATE_DATA_FRAGMENT,Asia,asia
HC01_VC163,CREATE_DATA_FRAGMENT,Africa,africa
HC01_VC164,CREATE_DATA_FRAGMENT,Oceania,oceania
HC01_VC165,CREATE_DATA_FRAGMENT,Latin America,latin_america
HC01_VC166,CREATE_DATA_FRAGMENT,Northern America,northern_america
LANGUAGE_AT_HOME_MODULE,CREATE_DATA_MODULE,Languages spoken at home,lang_spoken_at_home
HC01_VC170,CREATE_DATA_POINT,Population 5 years and over,pop_5yeays_and_over
LANGUAGE_AT_HOME_CDP,CREATE_COMPOSITE_DATA_POINT,Languages spoken at home,lang_spoken_at_home_bdown
HC01_VC171,CREATE_DATA_FRAGMENT,English only,english_only
HC01_VC172,CREATE_DATA_FRAGMENT,Language other than English,lang_other_than_english
HC01_VC173,CREATE_SUBDATA_FRAGMENT,Speak English less than very well,speak_english_less_than_very_well
HC01_VC174,CREATE_DATA_FRAGMENT,Spanish,spanish
HC01_VC175,CREATE_SUBDATA_FRAGMENT,Speak English less than very well,speak_english_less_than_very_well_spanish
HC01_VC176,CREATE_DATA_FRAGMENT,European languages,european_languages
HC01_VC177,CREATE_SUBDATA_FRAGMENT,Speak English less than very well,speak_english_less_than_very_well_european
HC01_VC178,CREATE_DATA_FRAGMENT, Asian and Pacific Islander languages,asian_and_pacafic_islander_langauage
HC01_VC179,CREATE_SUBDATA_FRAGMENT,Speak English less than very well,speak_english_less_than_very_well_asian
HC01_VC180,CREATE_DATA_FRAGMENT,Other languages,other_languages
HC01_VC181,CREATE_SUBDATA_FRAGMENT,Speak English less than very well,speak_english_less_than_very_well_other
ANCESTRY_MODULE,CREATE_DATA_MODULE,Ancestry,ancestry
HC01_VC185,CREATE_DATA_POINT,Total Population,ancestry_tot_pop
HC01_VC186,CREATE_DATA_POINT,American,american
HC01_VC187,CREATE_DATA_POINT,Arab,arab
HC01_VC188,CREATE_DATA_POINT,Czech,czech
HC01_VC189,CREATE_DATA_POINT,Danish,danish
HC01_VC190,CREATE_DATA_POINT,Dutch,dutch
HC01_VC191,CREATE_DATA_POINT, English,english
HC01_VC192,CREATE_DATA_POINT, French (except Basque),french_except_basque
HC01_VC193,CREATE_DATA_POINT, French Canadian,french_canadian
HC01_VC194,CREATE_DATA_POINT, German,german
HC01_VC195,CREATE_DATA_POINT, Greek,greek
HC01_VC196,CREATE_DATA_POINT, Hungarian,hungarian
HC01_VC197,CREATE_DATA_POINT, Irish,irish
HC01_VC198,CREATE_DATA_POINT, Italian,italian
HC01_VC199,CREATE_DATA_POINT, Lithuanian,lithuanian
HC01_VC200,CREATE_DATA_POINT, Norwegian,norwegian
HC01_VC201,CREATE_DATA_POINT, Polish,polish
HC01_VC202,CREATE_DATA_POINT, Portuguese,portuguese
HC01_VC203,CREATE_DATA_POINT, Russian,russian
HC01_VC204,CREATE_DATA_POINT, Scotch-Irish,scotch_irish
HC01_VC205,CREATE_DATA_POINT, Scottish,scottish
HC01_VC206,CREATE_DATA_POINT, Slovak,slovak
HC01_VC207,CREATE_DATA_POINT, Subsaharan African,subsaharan_africa
HC01_VC208,CREATE_DATA_POINT, Swedish,swedish
HC01_VC209,CREATE_DATA_POINT, Swiss,swiss
HC01_VC210,CREATE_DATA_POINT, Ukrainian,ukrainian
HC01_VC211,CREATE_DATA_POINT, Welsh,welsh
HC01_VC212,CREATE_DATA_POINT, West Indian (excluding Hispanic origin groups),west_indian
COMPUTERS_AND_INTERNET_MODULE,CREATE_DATA_MODULE,Computer and Internet Use,cmp_and_internet_use
HC01_VC216,CREATE_DATA_POINT,Total Households,tot_hoshold_cmp
HC01_VC217,CREATE_DATA_POINT,Households with a Computer,hoshold_with_computer
HC01_VC218,CREATE_DATA_POINT,Households with a broadband internet subscription,hoshold_with_bb_internet
