KEY,ANNOTATION,PROPERTY_DESCRIPTION,IDENTIFIER
HC01_VC43,CREATE_DATA_POINT,Total population,total_population_race
HC01_VC44,NONE,Total population - One race,NONE
RACE_DISTRIBUTION_CDP,CREATE_COMPOSITE_DATA_POINT,Race Breakdown,race_breakdown
HC01_VC45,CREATE_DATA_FRAGMENT,Total population - Two or more races,total_population_two_or_more_races
HC01_VC48,NONE,One race race,NONE
HC01_VC49,CREATE_DATA_FRAGMENT,One race  White,one_race_white
HC01_VC50,CREATE_DATA_FRAGMENT,One race  Black or African American,one_race_black_or_african_american
HC01_VC51,CREATE_DATA_FRAGMENT,One race  American Indian and Alaska Native,one_race_american_indian_and_alaska_native
HC01_VC52,NONE,One race  American Indian and Alaska Native - Cherokee tribal grouping,NONE
HC01_VC53,NONE,One race  American Indian and Alaska Native - Chippewa tribal grouping,NONE
HC01_VC54,NONE,One race  American Indian and Alaska Native - Navajo tribal grouping,NONE
HC01_VC55,NONE,One race  American Indian and Alaska Native - Sioux tribal grouping,NONE
HC01_VC56,CREATE_DATA_FRAGMENT,One race  Asian,one_race_asian
HC01_VC57,NONE,One race  Asian - Asian Indian,NONE
HC01_VC58,NONE,One race  Asian - Chinese,NONE
HC01_VC59,NONE,One race  Asian - Filipino,NONE
HC01_VC60,NONE,One race  Asian - Japanese,NONE
HC01_VC61,NONE,One race  Asian - Korean,NONE
HC01_VC62,NONE,One race  Asian - Vietnamese,NONE
HC01_VC63,NONE,One race  Asian - Other Asian,NONE
HC01_VC64,CREATE_DATA_FRAGMENT,One race  Native Hawaiian and Other Pacific Islander,one_race_native_hawaiian_and_other_pacific_islander
HC01_VC65,NONE,One race  Native Hawaiian and Other Pacific Islander - Native Hawaiian,NONE
HC01_VC66,NONE,One race  Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,NONE
HC01_VC67,NONE,One race  Native Hawaiian and Other Pacific Islander - Samoan,NONE
HC01_VC68,NONE,One race  Native Hawaiian and Other Pacific Islander - Other Pacific Islander,NONE
HC01_VC69,CREATE_DATA_FRAGMENT,One race  Some other race,one_race_some_other_race
HC01_VC70,NONE,  Two or more races,NONE
HC01_VC71,NONE,  Two or more races - White and Black or African American,NONE
HC01_VC72,NONE,  Two or more races - White and American Indian and Alaska Native,NONE
HC01_VC73,NONE,  Two or more races - White and Asian,NONE
HC01_VC74,NONE,  Two or more races - Black or African American and American Indian and Alaska Native,NONE
HC01_VC77,NONE,  Race alone or in combination with one or more other races - Total population,NONE
HC01_VC78,NONE,  Race alone or in combination with one or more other races - Total population - White,NONE
HC01_VC79,NONE,  Race alone or in combination with one or more other races - Total population - Black or African American,NONE
HC01_VC80,NONE,  Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,NONE
HC01_VC81,NONE,  Race alone or in combination with one or more other races - Total population - Asian,NONE
HC01_VC82,NONE,  Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,NONE
HC01_VC83,NONE,  Race alone or in combination with one or more other races - Total population - Some other race,NONE
MODULE_HISPANIC,CREATE_DATA_MODULE,Hispanic or Latino,hispanic_or_latino
HC01_VC87,CREATE_DATA_POINT,Total population,total_population_his
HISPANIC_CDP,CREATE_COMPOSITE_DATA_POINT,Hispanic or Latino,hispanic_or_latino_cdp
HC01_VC88,CREATE_DATA_FRAGMENT, Hispanic or Latino (of any race),hispanic_or_latino_any_race
HC01_VC89,NONE, HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,NONE
HC01_VC90,NONE, HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,NONE
HC01_VC91,NONE, HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,NONE
HC01_VC92,NONE, HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,NONE
HC01_VC93,CREATE_DATA_FRAGMENT,Not Hispanic or Latino,not_hispanic_or_latino
HC01_VC94,NONE, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone,NONE
HC01_VC95,NONE, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone,NONE
HC01_VC96,NONE, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,NONE
HC01_VC97,NONE, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Asian alone,NONE
HC01_VC98,NONE, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,NONE
HC01_VC99,NONE, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Some other race alone,NONE
HC01_VC100,NONE, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races,NONE
HC01_VC101,NONE, HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races including Some other race,NONE
HC01_VC102,NONE," HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races",NONE
HC01_VC104,NONE, HISPANIC OR LATINO AND RACE - Total housing units,NONE
